"category_id","cart_user_item_pairs","buy_within_24h_pairs","cart_to_buy_24h_pct","recall_candidate_pairs"
"4756105","1766","35","1.98","1731"
"4145813","1536","37","2.41","1499"
"982926","1403","44","3.14","1359"
"2355072","1170","17","1.45","1153"
"4801426","1110","40","3.6","1070"
"3607361","962","27","2.81","935"
"1320293","842","30","3.56","812"
"2735466","832","33","3.97","799"
"2520377","734","6","0.82","728"
"3002561","748","24","3.21","724"
"2465336","710","19","2.68","691"
"2640118","609","22","3.61","587"
"4217906","597","23","3.85","574"
"149192","542","5","0.92","537"
"3738615","511","9","1.76","502"
